"ID","lat","long","start.date","end.date","min.band","max.band","mean.band","sd.band","band.yield","no.fill.data","poor.quality.data"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2492,0.6271,0.401731514687018,0.0835529670265036,NA,"0% (0/69)","53.62% (37/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2431,0.5172,0.371728964198595,0.0753713362926644,NA,"0% (0/69)","50.72% (35/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2093,0.5548,0.422151281271067,0.0734253816391133,NA,"0% (0/69)","53.62% (37/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2093,0.5366,0.367897987358074,0.0895974618109121,NA,"0% (0/69)","55.07% (38/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2199,0.5342,0.364560312564411,0.0763764187105357,NA,"0% (0/69)","55.07% (38/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2877,0.6019,0.407089572160266,0.0791684397812447,NA,"0% (0/69)","55.07% (38/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2537,0.6019,0.387509453958127,0.0793138037248253,NA,"0% (0/69)","55.07% (38/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2215,0.6118,0.3733892259428,0.0806422780784569,NA,"0% (0/69)","56.52% (39/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2345,0.585,0.374321510730826,0.0720810342087689,NA,"0% (0/69)","56.52% (39/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2318,0.4611,0.359758091055649,0.0621250135760108,NA,"0% (0/69)","56.52% (39/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2535,0.4797,0.35662414100435,0.0591456894816899,NA,"0% (0/69)","52.17% (36/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2022,0.5013,0.370579325183499,0.0668390145137784,NA,"0% (0/69)","52.17% (36/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2106,0.5013,0.353864713972268,0.0759505404653644,NA,"0% (0/69)","52.17% (36/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.1994,0.4529,0.331258122601758,0.0652202527986377,NA,"0% (0/69)","53.62% (37/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.1646,0.5139,0.301114506141128,0.0786283610334226,NA,"0% (0/69)","52.17% (36/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.1596,0.4672,0.292232816033963,0.0795536048507711,NA,"0% (0/69)","55.07% (38/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.1563,0.4422,0.274799848024871,0.0580043153626848,NA,"0% (0/69)","56.52% (39/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.166,0.4025,0.293062458045834,0.0538188221865087,NA,"0% (0/69)","56.52% (39/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.1996,0.4232,0.321715268066421,0.0624045558618072,NA,"0% (0/69)","56.52% (39/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2472,0.5094,0.35204456690048,0.0688334264725995,NA,"0% (0/69)","53.62% (37/69)"
